Title,Artist,Genre,Plays
TU SANCHO,Fuerza Regida,Corrido,1565551
Perlas Negras,Natanael Cano Gabito Ballesteros,Corridos Tumbados,1478561
Marlboro Rojo,Fuerza Regida,Corrido,1464281
SUIZA,Calle 24,Corrido,1315963
POR SUS BESOS,Tito Double P,Corrido,1157755
Frecuencia,Los Dareyes De La Sierra,Corrido,1126156
Chula Vente,Marcos Villalobos Alan Arrieta,Corrido,1080095
Te Queria Ver,Aleman Neton Vega,Mexican Hip Hop,979561
Morena,Neton Vega Peso Pluma,Corrido,"954,187"
2+2,Omar Camacho Victor Mendivil,Electro Corridos,940322
ANSIEDAD,Fuerza Regida,Corrido,762497
Vita Fer,Los Dareyes De La SIerra Tito Double P,Corrido,720415
Blancanieves,Natanael Cano,Corridos Tumbados,702702
Por Esos Ojos,Fuerza Regida,Corrido,664561
Como Capo,Clave Especial Fuerza Regida,Corrido,628331
Chiquita,Neton Vega Tito Double P,Corrido,608683
Amigos? No,Oscar Maydon Neton Vega,Corridos Tumbados,598845
Pelotero A La Bola,8Uno Airam Paez,Dembow Belico,588820
Corazon Partio,Tito Double P,Corrido,559126
Madonna,Natanael Cano Oscar Maydon,Corridos Tumbados,531511
TU VAS SIN (fav),Rels B,Urbano Latino,525578
COQUETA,Fuerza Regida Grupo Frontera,Corrido,515991
MIENTRAS DUERMES,Junior H,Corridos Tumbados,512970
M&M,Neton Vega,Corrido,509740
PLAK,Victor Mendivil $HUPE,Electro Corridos,493881
TU TU TU,Clave Especial Edgardo Nunez,Corrido,492230
En Privado,Xavi Manuel Turizo,Corridos Tumbados,489364
TATTOO,Tito Double P,Corrido,486939
Vamo a Bailotear,Cris MJ,Reggaeton Chileno,474263
Tu Boda,Oscar Maydon Fuerza Regida,Corridos Tumbados,471912
Pika Pika,Chuyin Fuerza Regida Jorsshh Calle 24,Corrido,467365
Ay Mamita,Alan Arrieta,Electro Corridos,467205
DOS DIAS,Tito Double P Peso Pluma,Corrido,459231
King of Watches,Victor Mendivil Neton Vega,Electro Corridos,459114
El Final De Nuestra Historia,La Arrolladora Banda El Limon De Rene Camacho,Banda,458984
Y LLORO,Junior H,Corridos Tumbados,458505
Loco,Neton Vega,Corrido,450436
ME JALO,Fuerza Regida Grupo Frontera,Corrido,439656
Cholo,Victor Mendivil,Electro Corridos,427599
7 DIAS,Gabito Ballesteros Tito Double P,Corrido,422089
Triple Lavada,Esau Ortiz,Electro Corridos,415261
La Pantera,Marcos Villalobos Alan Arrieta,Corrido,411739
HOLLYWOOD,Peso Pluma Estevan Plazola,Corrido,409798
BAILE INoLVIDABLE,Bad Bunny,Reggaeton,400751
Tutankamon,Gabito Ballesteros Natanael Cano Luis R. Conriquez Neton Vega,Electro Corridos,399971
Coleccionando Heridas,KAROL G Marco Antonio Solis,Reggaeton,397497
PRESIDENTE,Gabito Ballesteros Natanael Cano Luis R. Conriquez Neton Vega,Electro Corridos,387307
EL AMOR DE SU VIDA,Grupo Frontera Grupo Firme,Cumbia Nortena,386121
Extssy Model,Junior H,Corridos Tumbados,385168
Asquerosamente Rico,Oscar Maydon Peso Pluma,Corridos Tumbados,384865
